id,saleprice
1461,122431.19299
1462,166248.12208
1463,182415.19932
1464,198983.32773
1465,218554.79386
1466,169251.07734
1467,186208.08033
1468,159003.084
1469,193031.38998
1470,110414.2661
1471,183702.19556
1472,96180.919323
1473,95219.993759
1474,145273.03087
1475,110309.30356
1476,343313.98334
1477,276346.83914
1478,327627.92149
1479,316515.00006
1480,443578.19397
1481,339754.71423
1482,230161.53586
1483,181717.13883
1484,164736.01156
1485,194439.24423
1486,191162.80997
1487,311037.50544
1488,254193.07432
1489,190525.09549
1490,218847.34534
1491,188590.80931
1492,94408.586884
1493,187035.00601
1494,312789.20443
1495,305422.89865
1496,216031.22609
1497,184060.33883
1498,166816.41891
1499,156590.12967
1500,148384.39453
1501,172431.3213
1502,152045.43786
1503,281478.71351
1504,246022.50411
1505,226335.85263
1506,192694.19337
1507,220988.52313
1508,191488.7067
1509,168297.00581
1510,141715.57909
1511,141674.09492
1512,169160.48865
1513,155690.40616
1514,154661.37176
1515,203398.95049
1516,167967.34123
1517,171800.41526
1518,127262.25768
1519,205563.12746
1520,126813.96077
1521,134808.70771
1522,170694.8743
1523,106564.24543
1524,136001.19958
1525,124853.24132
1526,118896.27797
1527,97873.795398
1528,149196.28255
1529,139289.85176
1530,181247.19719
1531,102080.78183
1532,97504.452809
1533,149865.57085
1534,121991.32758
1535,158921.97634
1536,111460.93636
1537,59535.246621
1538,160195.57523
1539,191277.68895
1540,104182.68703
1541,146979.84635
1542,152363.05698
1543,196052.89866
1544,95141.502503
1545,137361.60186
1546,137529.3157
1547,139793.53226
1548,158715.51072
1549,123926.487
1550,133791.71028
1551,111456.15967
1552,113812.82779
1553,133167.96901
1554,113615.93813
1555,179668.91568
1556,93442.553757
1557,105267.48457
1558,106137.19283
1559,87198.427597
1560,136836.32929
1561,121548.95915
1562,123626.14116
1563,111153.29258
1564,137862.34776
1565,142421.58999
1566,249100.94384
1567,73802.077977
1568,219090.49289
1569,113442.80912
1570,142171.81047
1571,136959.93846
1572,142577.87621
1573,227855.38042
1574,116855.67822
1575,198557.45998
1576,255779.71697
1577,183229.24906
1578,134925.6417
1579,146472.8966
1580,205615.25727
1581,164762.55827
1582,128022.12282
1583,301145.18633
1584,210025.8854
1585,135393.73389
1586,72478.567979
1587,109743.63798
1588,144349.68524
1589,99739.099482
1590,143018.73336
1591,87978.226649
1592,121963.28762
1593,121578.3625
1594,147918.99445
1595,99752.595599
1596,222885.58725
1597,194771.97502
1598,260174.57832
1599,174678.46574
1600,171659.17763
1601,59302.259245
1602,101606.05347
1603,80884.929787
1604,251903.40404
1605,253261.90457
1606,179531.00187
1607,172217.63768
1608,223263.38159
1609,177651.14857
1610,154252.72066
1611,141997.11975
1612,158049.05434
1613,152714.20065
1614,107123.7962
1615,91848.416602
1616,76422.523339
1617,99445.148441
1618,123789.04247
1619,137546.17156
1620,132938.44231
1621,144875.23449
1622,140810.51871
1623,239568.42223
1624,195375.72579
1625,122865.94378
1626,171948.31896
1627,188848.11005
1628,296902.30243
1629,196176.51621
1630,353091.47486
1631,253982.29054
1632,278031.7155
1633,181180.52486
1634,183379.85408
1635,176781.25761
1636,148392.12612
1637,190811.43643
1638,197259.00075
1639,191110.61081
1640,265402.26384
1641,185136.07712
1642,233246.33507
1643,225726.70467
1644,246019.51081
1645,183792.4668
1646,152565.78555
1647,161819.67289
1648,124165.34365
1649,141802.74757
1650,113311.96105
1651,121611.92485
1652,97630.175033
1653,101711.28778
1654,147002.57407
1655,133494.24752
1656,137995.94798
1657,148578.05056
1658,143833.34952
1659,126247.77489
1660,152721.69477
1661,421146.53756
1662,407554.90737
1663,380347.70266
1664,483712.69191
1665,311764.32475
1666,338059.06793
1667,391510.31965
1668,343821.77503
1669,320127.38708
1670,361483.27085
1671,275738.47589
1672,426999.43761
1673,315664.06701
1674,270580.35492
1675,207696.80343
1676,188952.24044
1677,235208.29447
1678,464200.43197
1679,373120.97017
1680,313645.40616
1681,242711.77516
1682,326976.11106
1683,188915.49252
1684,179820.36041
1685,165520.9833
1686,169685.72159
1687,171233.37168
1688,183887.3851
1689,186463.65399
1690,195728.30931
1691,182622.46694
1692,277772.65312
1693,187111.17408
1694,180457.41045
1695,168053.48018
1696,283622.83778
1697,178268.82835
1698,351652.38685
1699,310897.47711
1700,245073.95522
1701,279329.15863
1702,271994.84605
1703,266042.82258
1704,300254.19535
1705,242234.9355
1706,400320.32286
1707,204172.91423
1708,203269.7899
1709,279423.65909
1710,228514.39247
1711,282737.31051
1712,250993.81644
1713,276414.645
1714,234038.74021
1715,219644.73694
1716,180996.22024
1717,170280.48388
1718,137122.47316
1719,194991.61694
1720,247123.12622
1721,166537.56906
1722,132572.22809
1723,158364.42889
1724,199730.06934
1725,229062.42899
1726,184155.03215
1727,150888.47454
1728,179486.86097
1729,181392.14089
1730,167702.77187
1731,118081.7961
1732,118906.5605
1733,110249.83977
1734,121758.8196
1735,133016.13359
1736,114315.39856
1737,367960.96806
1738,270700.07337
1739,255593.9853
1740,192488.42103
1741,182527.43392
1742,172769.94263
1743,186005.41888
1744,317839.5868
